binEdges,id,order,c2,c3,c4,c5,c6,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c78,c79,c80,c82,c84,c85,c86,c87,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c123,c124,c127,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c146,c147,c149,c151,c152,c154,c155,c156,c158,c159,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c184,c187,c190,c191,c193,c194,c195,c196,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c215,c216,c218,c219,c220,c221,c222,c224,c225,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237
6408.795644,50,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91582454416876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04208772791562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6408.815644,50,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08417545583124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6408.835644,50,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6408.855644,50,0.666666666666667,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,2.87373681625314,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0
6408.875644,50,0.833333333333333,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0.0420877279156189,0,0,0,0.0420877279156189,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91582454416876,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0.126263183746857,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0.957912272084381,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0.0420877279156189,0,0
6408.895644,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841754558312377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6414.975644,51,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,1,0,0,0,0,0,0,0.957912272084381,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6414.995644,51,0.25,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0.0420877279156189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6415.015644,51,0.375,0,0,0,0,0,2.87373681625314,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0.957912272084381,0,1.91582454416876,0,0,0,0,1.91582454416876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91582454416876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,1.91582454416876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0
6415.035644,51,0.5,0,0,0,0,0,1.08417545583124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0.957912272084381,0,0,0.957912272084381,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,0,1.95791227208438,0,0.0841754558312377,0,0,0,0,3.91582454416876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841754558312377,0,0,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,1.91582454416876,0.0841754558312377,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957912272084381,0.957912272084381,0,0,0.0420877279156189,0,0,0.957912272084381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420877279156189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
